pickup_longitude,pickup_latitude,pickup_date,pickup_time,pickup_hour,farePerDistance,trip_distance,fare_amount,dropoff_longitude,dropoff_latitude,dropoff_date,dropoff_time,dropoff_hour,payment_type,WWH,pickup_block_int,dropoff_block_int
-73.99246216,40.72472382,4/25/15,17:58:37,17,7,1,7,-74.00497437,40.71572113,4/25/15,18:06:29,18,0,2,91,106
-73.98949432,40.7416687,4/11/15,21:17:54,21,6,1,6,-73.97855377,40.74595261,4/11/15,21:23:30,21,0,2,90,75
-73.98992157,40.77271652,4/11/15,22:40:06,22,5.217391304,2.3,12,-73.99180603,40.74648285,4/11/15,22:56:05,22,0,2,180,20
-74.01205444,40.70819092,4/11/15,23:50:50,23,4.166666667,2.52,10.5,-73.98508453,40.71777725,4/12/15,0:02:10,0,0,2,37,189
-73.97751617,40.78707504,4/25/15,23:28:31,23,6.428571429,0.7,4.5,-73.96898651,40.78847122,4/25/15,23:31:40,23,1,2,187,187
-73.98773956,40.67171097,4/26/15,0:46:40,0,4.090909091,2.2,9,-73.97467804,40.64807129,4/26/15,0:53:40,0,0,2,176,29
-73.94445038,40.79468536,4/12/15,7:29:41,7,4.545454545,1.1,5,-73.95566559,40.77968979,4/12/15,7:32:22,7,1,2,181,179
-74.0016098,40.74676895,4/12/15,10:51:44,10,3.846153846,2.86,11,-73.97898102,40.78224182,4/12/15,11:02:38,11,1,2,90,187
-74.00427246,40.73814011,4/26/15,9:47:13,9,7.051282051,0.78,5.5,-74.00749207,40.73020172,4/26/15,9:52:58,9,0,2,91,91
-73.98068237,40.76502991,4/26/15,11:40:10,11,5.128205128,1.56,8,-73.99474335,40.74496841,4/26/15,11:49:05,11,0,2,20,90
-73.97418976,40.79400635,4/12/15,16:22:19,16,4.642857143,1.4,6.5,-73.95624542,40.7873764,4/12/15,16:28:09,16,1,2,187,184
-73.98148346,40.77867126,4/12/15,18:09:39,18,5.555555556,0.9,5,-73.97233582,40.78829575,4/12/15,18:13:26,18,1,2,180,187
-73.97698212,40.79008102,4/26/15,17:02:51,17,5.376344086,1.86,10,-73.95619965,40.80392838,4/26/15,17:14:57,17,0,2,187,175
-73.99414825,40.75112152,4/26/15,18:40:52,18,7.142857143,0.7,5,-74.0032196,40.75230026,4/26/15,18:44:52,18,0,2,20,90
-73.99394989,40.76168823,4/13/15,1:38:22,1,5.625,0.8,4.5,-73.98551941,40.76892853,4/13/15,1:40:25,1,1,1,14,180
-74.01507568,40.7156601,4/13/15,7:39:12,7,3.636363636,4.4,16,-73.97759247,40.75518036,4/13/15,7:57:09,7,0,1,37,20
-74.00231934,40.73965454,4/27/15,4:33:08,4,5.625,0.8,4.5,-73.99829865,40.74064636,4/27/15,4:36:38,4,1,1,91,90
-73.9781723,40.76327515,4/27/15,7:54:21,7,5.357142857,1.4,7.5,-73.96235657,40.77583313,4/27/15,8:02:12,8,0,1,20,179
-73.98725891,40.75448227,4/13/15,13:49:25,13,4.285714286,2.8,12,-74.00856781,40.71894836,4/13/15,14:03:49,14,0,1,20,106
-73.9712677,40.76456451,4/13/15,15:34:31,15,6,1.5,9,-73.99260712,40.76884079,4/13/15,15:45:10,15,0,1,179,14
-73.97458649,40.76498413,4/27/15,13:57:20,13,5.629139073,1.51,8.5,-73.96176147,40.77963257,4/27/15,14:07:33,14,0,1,184,179
-73.95437622,40.76671982,4/27/15,15:42:39,15,8,0.5,4,-73.94784546,40.77067566,4/27/15,15:45:44,15,1,1,129,67
-74.00170898,40.73555756,4/13/15,20:47:29,20,4.444444444,1.8,8,-73.9788208,40.74091339,4/13/15,20:55:53,20,0,1,91,75
-73.9659729,40.75845337,4/13/15,22:25:31,22,4.605263158,1.52,7,-73.97951508,40.73981857,4/13/15,22:31:09,22,1,1,21,75
-73.97476196,40.78317642,4/27/15,20:50:02,20,5.442176871,1.47,8,-73.95231628,40.77263641,4/27/15,20:59:03,20,1,1,187,67
-73.97808075,40.75540543,4/27/15,22:17:01,22,5.5,1,5.5,-73.97994995,40.76524353,4/27/15,22:21:28,22,0,1,20,20
-73.98885345,40.75751877,4/14/15,9:20:41,9,11.66666667,0.6,7,-73.98193359,40.76170731,4/14/15,9:30:00,9,1,1,20,20
-73.97258759,40.76269913,4/14/15,11:05:54,11,3.214285714,12.6,40.5,-73.96695709,40.64448929,4/14/15,11:43:43,11,1,1,20,113
-73.98127747,40.73323822,4/28/15,9:09:19,9,5.303030303,1.32,7,-73.97120667,40.74969101,4/28/15,9:16:03,9,0,1,79,21
-73.97814941,40.75755692,4/28/15,10:59:06,10,8.928571429,1.12,10,-73.972435,40.74627304,4/28/15,11:13:20,11,0,1,20,75
-73.98812866,40.74921036,4/14/15,17:04:45,17,7.720588235,1.36,10.5,-73.98805237,40.76406097,4/14/15,17:19:07,17,0,1,20,14
-73.99169922,40.73093033,4/14/15,18:35:34,18,5.789473684,1.9,11,-74.01278687,40.70641708,4/14/15,18:50:25,18,0,1,91,37
-73.99195099,40.75419617,4/28/15,17:07:13,17,7.142857143,1.12,8,-73.98154449,40.76775742,4/28/15,17:17:32,17,0,1,20,20
-73.98988342,40.73843765,4/28/15,18:38:19,18,3.666146646,6.41,23.5,-73.97937012,40.68671036,4/28/15,19:07:08,19,0,1,90,125
-73.97425079,40.74312973,4/14/15,23:08:53,23,3.669724771,2.18,8,-73.96089935,40.76988983,4/14/15,23:15:18,23,1,1,75,179
