Boro,Count_Biz,Count_NonBiz,TraveledDistance_Biz,TraveledDistance_NonBiz,FarePerDistance_Biz,FarePerDistance_NonBiz,PercentagePayingCash
East Harlem South,311140,142705,5.53067535,2.929563131,5.321218978,4.819485322,0.479571118
park-cemetery-etc-Brooklyn,5171,3578,3.625822723,3.690788402,4.746055676,4.601438582,0.404169846
park-cemetery-etc-Queens,6614,2939,7.300064233,7.057106234,5.225252107,5.039759895,0.430928967
park-cemetery-etc-Manhattan,700560,277088,10.81902046,2.900820777,5.564281679,5.09948653,0.440164886
Van Cortlandt Village,486,353,3.742030352,4.118818167,4.865824255,4.586251951,0.686628313
Morningside Heights,428060,187350,23.73975867,17.12877511,5.175298625,4.982295069,0.385906271
Upper West Side,2597290,1132507,15.44390858,53.18981836,5.328199281,5.074118086,0.397925818
East Village,1447681,1015511,10.88630632,11.04704908,5.611527953,5.371813934,0.323710413
Lower East Side,240126,176647,2.993147187,3.094761887,5.243038185,5.098351885,0.359611453
Washington Heights North,9913,7048,4.266514218,4.62415813,5.030349009,4.707810323,0.484045473
Washington Heights South,48430,24517,15.66654454,4.273811373,4.759519988,4.654656437,0.472389716
Highbridge,1379,819,3.663103933,3.810015969,5.107463212,4.761399636,0.656579615
West Concourse,6098,3690,3.496801025,3.45411951,5.059329371,4.870968687,0.642113157
Soundview-Castle Hill-Clason Point-Harding Park,445,327,4.453843078,4.349140816,4.579563435,4.324090709,0.698420674
park-cemetery-etc-Bronx,339,297,4.440225803,5.187484053,4.852171784,4.412228815,0.595343115
